firstname,Score
Jessamyn,269
Jessy,349
Deirdre,237
Ninnetta,117
Christy,407
Alex,107
Ronna,271
Joceline,900
Ayn,275
Steffane,54
Daune,9
Nataline,245
Shandie,522
Pollyanna,383
Kamilah,598
Roberta,637
Alejandra,64
Jenilee,93
Rhoda,864
Tori,304
Alisha,677
Dode,662
Barbi,886
Kassey,933
Ardys,722
Ronna,135
Berget,432
Frieda,655
Elise,136
Ricky,189
Cissiee,93
Paola,864
Shaine,141
Marjie,592
Grier,204
Rosene,871
Noelle,142
Kara-Lynn,301
Mahalia,981
Merry,630
Shaylyn,554
Catharine,76
Liana,768
Rochette,110
Elfreda,136
Riannon,487
Rebeca,157
Briney,382
Pearline,808
Tonia,97
Heida,735
Elise,974
Neila,298
Krystle,887
Paulita,474
Lucille,264
Ida,569
Lizzie,578
Nannie,28
Maridel,829
Gloria,283
Leeanne,722
Clarice,834
Shel,326
Maryellen,67
Amalie,897
Jenda,892
Sybille,431
Fred,762
Dione,610
Mellicent,302
Brana,801
Jackie,315
Tersina,816
Aryn,967
Myriam,407
Helsa,28
Candy,452
Carly,532
Jillayne,964
Gusty,987
Aurelie,63
Giustina,821
Magdalena,198
Olwen,550
Misha,699
Merci,594
Chickie,644
Bettine,462
Pearline,505
Deirdre,566
Lulita,831
Trixi,23
Alexine,306
Alyssa,797
Demetris,330
Molli,1
Fredericka,34
Ann-Marie,337
Viviene,959
Sophia,906
Rosabelle,595
Lusa,2
Cacilie,862
Dotty,463
Dagmar,858
Mariele,870
Bernardine,564
Charissa,748
Janeczka,406
Imojean,427
Joceline,70
Cathyleen,376
Brianna,911
Alex,426
Loree,621
Oona,287
Ketti,277
Willetta,537
Eve,640
Harrietta,144
Gavrielle,287
Mallory,598
Gale,280
Elvira,998
Lelah,962
Etta,111
Joelly,289
Heddie,162
Agnese,483
Kayla,127
Gilligan,988
Melisent,784
Althea,649
Melisent,665
Carol-Jean,786
Dania,214
Heida,659
Gabriellia,849
Christian,4
Nonnah,233
Dale,960
Gilda,268
Eolanda,294
Christy,310
Ardeen,432
Caressa,919
Calla,248
Mara,281
Cacilie,611
Farrah,343
Meg,726
Merle,544
Rhea,913
Adele,831
Paola,59
Allis,303
Tabbatha,868
Renie,718
Sonni,511
Gilda,683
Cassondra,506
Wilma,55
Ingrid,896
Mariann,780
Gwyneth,313
Ileana,150
Caryl,885
Elie,813
Theodora,361
Carol-Jean,111
Rivalee,228
Jenda,610
Celisse,438
Chastity,775
Vivia,910
Margarette,336
Laure,564
Hermione,536
Neila,950
Catrina,606
Doralynne,746
Lindie,226
Sherrie,353
Jessy,464
Bettine,742
Cassandra,41
Margette,377
Marnia,954
Deane,284
Therine,31
Barbara,788
Lesly,698
Orsola,522
Cam,531
Joceline,754
Paola,497
Kate,214
Elmira,350
Aurore,223
Marguerite,525
Kary,548
Fidelia,811
Sashenka,994
Karena,510
Caryl,879
Gianina,620
Aimil,304
Nickie,138
Tina,302
Stacey,492
Consuela,240
Pierette,967
Minne,934
Lauryn,980
Dale,941
Hettie,781
Cristine,824
Flory,723
Trixi,896
Brena,721
Ulrike,982
Korrie,793
Cathie,857
Dania,806
Kary,10
Corina,836
Sissy,61
Agathe,710
Marleah,957
Marylou,959
Alie,246
Dotty,64
Carree,439
Deloria,701
Dania,127
Glynnis,721
Lucy,320
Rubie,57
Bobinette,760
Carolina,58
Caryl,491
Ruthe,580
Hildegaard,920
Charmaine,849
Ricky,400
Katharina,281
Shel,830
Delilah,9
Cam,618
Candy,21
Mureil,558
Justinn,27
Ashlee,187
Shaine,384
Bill,741
Odessa,124
Sindee,867
Angela,902
Dacia,434
Cathyleen,877
Teddie,940
Valli,1000
Bibby,386
Christal,481
Zia,649
Dominga,666
Carolina,261
Danika,701
Nyssa,389
Jorry,19
Ezmeralda,453
Joy,98
Heddie,585
Dorothy,40
Adore,104
Morganica,567
Mariann,347
Claudina,708
Barbara,427
Gerianna,228
Yetty,293
Gwyneth,962
Priscilla,69
Mireielle,888
Nyssa,514
Neila,857
Merry,80
Emmey,55
Jolyn,491
Evita,649
Kristan,91
Marita,844
Basia,91
Minne,1000
Ida,89
Joane,410
Margarette,862
Tiffie,372
Patricia,817
Kore,339
Margalo,107
Desirae,257
Shirlee,471
Rivalee,717
Cathyleen,683
Gaylene,788
Dorice,344
Tiffie,873
Linet,107
Anestassia,945
Janis,207
Ann-Marie,45
Chrystel,40
Ada,151
Eolanda,960
Carmela,798
Pamella,510
Magdalena,779
Sarette,313
Nicoli,203
Bibby,391
Glynnis,183
Paulita,150
Elsie,598
Pollyanna,794
Daphne,796
Jacquetta,10
Kial,167
Evaleen,501
Carlie,685
Ada,480
Neila,883
Selma,741
Lizzie,137
Laurene,99
Katleen,559
Edee,244
Agathe,756
Lorie,780
Bee,601
Hannis,655
Sara-Ann,209
Cherilyn,832
Jean,134
Phedra,179
Dawn,401
Alyda,170
Gwenneth,631
Dianemarie,773
Vivia,597
Corly,598
Bettine,269
Jerry,833
Caressa,560
Kore,614
Merle,449
Aaren,687
Brana,523
Dale,598
Charmaine,4
Dennie,802
Nadine,106
Ruthe,129
Coral,201
Dede,472
Ernesta,908
Raf,392
Adore,662
Teriann,198
Edyth,561
Ayn,34
Angela,901
Vivia,830
Rani,642
Damaris,623
Rivalee,908
Rebeca,613
Celisse,926
Carmencita,773
Annecorinne,68
Kara-Lynn,288
Celestyna,383
Jillayne,268
Emmey,571
Coral,265
Damaris,44
Donnie,390
Allis,412
Zsa Zsa,132
Verla,739
Inga,524
Oona,422
Andeee,217
Brandise,343
Dorthy,192
Lita,318
Lila,163
Suzette,783
Averyl,480
Maurene,852
Carlie,65
Justinn,235
Yolane,855
Cyndie,22
Mariann,129
Veda,56
Verla,715
Shel,603
Jackie,136
Ellette,532
Winny,404
Aurore,11
Dania,602
Deedee,270
Madalyn,380
Phylis,766
Hallie,454
Lusa,617
Lenna,529
Romona,318
Belinda,114
Lucy,980
Modestia,492
Viki,825
Dorene,811
Margette,354
