X,Y,Value
141,862,582
423,13,300
876,462,582
614,993,643
821,411,60
247,653,21
603,82,407
520,53,297
942,727,549
407,371,589
893,361,532
544,826,434
490,160,289
293,636,479
305,253,775
917,643,117
735,475,125
902,329,225
549,689,647
906,895,509
492,676,670
861,199,689
66,206,137
742,203,655
850,820,362
305,805,16
532,44,159
749,415,636
258,676,267
240,551,760
49,797,382
501,388,290
257,722,395
311,707,144
414,923,744
671,234,303
381,261,663
69,524,756
404,648,175
316,264,387
812,796,571
927,47,762
6,828,691
156,901,190
840,683,525
942,765,49
237,775,53
76,94,389
707,791,552
677,982,619
914,437,608
130,919,465
868,760,655
702,762,714
231,521,211
953,19,667
536,962,516
924,901,233
377,816,783
20,212,394
409,911,128
118,885,795
28,332,601
370,395,574
960,31,23
610,571,159
641,497,394
853,722,104
176,541,683
576,706,592
893,99,508
369,40,243
878,396,668
383,412,2
56,998,696
842,329,214
112,607,39
301,838,711
268,813,74
15,846,534
478,718,143
90,631,156
4,116,347
787,466,449
806,837,291
510,619,65
62,554,11
225,923,192
168,890,758
943,722,275
278,412,269
319,339,215
712,675,467
435,605,230
564,766,756
828,17,149
733,16,77
151,122,659
510,566,740
929,982,83
609,170,773
853,297,188
665,612,429
347,978,350
603,63,303
285,108,299
289,967,635
260,708,456
973,903,598
399,740,695
574,188,502
62,509,304
123,97,706
706,507,113
719,105,8
789,865,486
323,700,67
685,449,446
737,263,577
655,303,155
626,743,285
860,452,281
656,214,676
174,711,438
241,741,500
349,100,47
148,692,502
611,966,479
723,860,695
247,651,792
46,672,484
582,852,181
13,773,742
332,976,14
54,577,702
891,934,687
230,24,315
28,654,235
518,457,628
190,258,183
154,500,172
689,269,791
943,177,114
975,333,541
556,279,404
838,941,29
395,322,731
303,941,800
965,414,549
269,985,547
172,435,538
171,801,621
740,693,262
636,191,659
425,66,743
329,332,477
903,738,777
409,720,678
360,164,702
907,690,433
480,366,720
54,856,245
104,966,149
669,704,783
18,894,694
195,1000,261
164,723,394
312,428,232
677,303,654
654,137,397
30,803,151
603,672,78
186,593,338
824,941,574
74,564,563
553,226,126
658,139,359
627,475,13
774,461,495
902,482,579
681,609,95
642,522,188
835,396,677
83,39,482
669,241,715
245,962,421
53,704,126
5,400,662
916,281,557
707,519,127
107,937,54
667,916,702
190,177,123
811,774,644
822,66,120
552,423,776
583,948,168
1,91,382
412,9,265
369,762,78
104,585,451
951,230,34
359,512,702
932,57,773
500,324,580
207,399,9
563,558,267
971,425,262
485,881,714
977,431,478
984,397,297
171,849,31
397,790,298
204,265,761
149,57,468
261,461,527
17,983,653
648,955,437
842,88,319
715,992,192
433,733,604
584,219,538
435,304,627
509,134,491
317,734,160
925,49,293
581,316,188
282,958,197
386,616,744
689,975,71
498,214,92
360,978,578
881,467,561
356,426,539
907,157,92
305,783,780
687,624,503
300,700,790
968,657,427
696,594,457
463,739,175
766,73,550
267,319,64
324,781,168
369,35,11
938,869,603
573,380,521
686,156,327
777,664,711
